timestamp(ms),RAW,
"1714597378.418","32",
"1714597378.422","32",
"1714597378.424","32",
"1714597378.426","32",
"1714597378.428","32",
"1714597378.432","32",
"1714597378.434","32",
"1714597378.436","32",
"1714597378.44","32",
"1714597378.442","32",
"1714597378.444","32",
"1714597378.446","32",
"1714597378.45","32",
"1714597378.452","32",
"1714597378.454","32",
"1714597378.456","32",
"1714597378.46","32",
"1714597378.461","32",
"1714597378.462","31",
"1714597378.464","31",
"1714597378.468","31",
"1714597378.47","31",
"1714597378.472","31",
"1714597378.474","31",
"1714597378.478","31",
"1714597378.48","30",
"1714597378.482","31",
"1714597378.484","30",
"1714597378.488","30",
"1714597378.49","30",
"1714597378.492","29",
"1714597378.496","28",
"1714597378.498","28",
"1714597378.5","28",
"1714597378.502","28",
"1714597378.506","27",
"1714597378.508","28",
"1714597378.51","27",
"1714597378.516","28",
"1714597378.517","28",
"1714597378.519","27",
"1714597378.52","28",
"1714597378.524","27",
"1714597378.525","27",
"1714597378.526","27",
"1714597378.529","27",
"1714597378.53","27",
"1714597378.534","27",
"1714597378.536","27",
"1714597378.538","27",
"1714597378.545","27",
"1714597378.547","26",
"1714597378.549","26",
"1714597378.553","26",
"1714597378.555","26",
"1714597378.557","26",
"1714597378.559","26",
"1714597378.563","26",
"1714597378.564","25",
"1714597378.567","26",
"1714597378.57","26",
"1714597378.571","26",
"1714597378.572","27",
"1714597378.575","28",
"1714597378.577","28",
"1714597378.581","28",
"1714597378.583","29",
"1714597378.585","28",
"1714597378.587","29",
"1714597378.591","29",
"1714597378.593","29",
"1714597378.595","29",
"1714597378.599","29",
"1714597378.601","29",
"1714597378.603","29",
"1714597378.605","29",
"1714597378.609","29",
"1714597378.611","29",
"1714597378.613","29",
"1714597378.615","29",
"1714597378.619","29",
"1714597378.621","29",
"1714597378.623","29",
"1714597378.627","29",
"1714597378.629","29",
"1714597378.631","29",
"1714597378.633","29",
"1714597378.637","29",
"1714597378.639","29",
"1714597378.641","29",
"1714597378.643","28",
"1714597378.647","28",
"1714597378.649","29",
"1714597378.651","28",
"1714597378.655","28",
"1714597378.657","28",
"1714597378.659","27",
"1714597378.661","27",
"1714597378.665","27",
"1714597378.667","27",
"1714597378.669","27",
"1714597378.675","26",
"1714597378.677","26",
"1714597378.679","26",
"1714597378.683","27",
"1714597378.685","26",
"1714597378.688","27",
"1714597378.689","27",
"1714597378.693","27",
"1714597378.694","27",
"1714597378.695","27",
"1714597378.697","27",
"1714597378.703","27",
"1714597378.704","27",
"1714597378.705","26",
"1714597378.707","25",
"1714597378.711","25",
"1714597378.712","25",
"1714597378.713","24",
"1714597378.715","24",
"1714597378.717","23",
"1714597378.721","23",
"1714597378.722","23",
"1714597378.723","23",
"1714597378.725","23",
"1714597378.729","22",
"1714597378.731","22",
"1714597378.733","22",
"1714597378.735","22",
"1714597378.739","23",
"1714597378.741","24",
"1714597378.744","24",
"1714597378.745","24",
"1714597378.749","25",
"1714597378.751","25",
"1714597378.754","25",
"1714597378.757","25",
"1714597378.758","25",
"1714597378.76","25",
"1714597378.762","26",
"1714597378.764","26",
"1714597378.768","25",
"1714597378.769","26",
"1714597378.772","26",
"1714597378.774","26",
"1714597378.778","26",
"1714597378.78","26",
"1714597378.782","26",
"1714597378.786","26",
"1714597378.788","26",
"1714597378.79","26",
"1714597378.792","26",
"1714597378.796","27",
"1714597378.798","27",
"1714597378.8","28",
"1714597378.802","28",
"1714597378.806","28",
"1714597378.808","29",
"1714597378.81","29",
"1714597378.814","29",
"1714597378.816","29",
"1714597378.818","29",
"1714597378.82","29",
"1714597378.824","29",
"1714597378.826","28",
"1714597378.828","29",
"1714597378.834","28",
"1714597378.836","28",
"1714597378.838","28",
"1714597378.842","28",
"1714597378.844","28",
"1714597378.846","28",
"1714597378.848","28",
"1714597378.852","28",
"1714597378.854","28",
"1714597378.856","28",
"1714597378.86","28",
"1714597378.862","28",
"1714597378.864","28",
"1714597378.866","29",
"1714597378.87","28",
"1714597378.872","28",
"1714597378.874","27",
"1714597378.876","27",
"1714597378.881","26",
"1714597378.882","26",
"1714597378.884","26",
"1714597378.888","26",
"1714597378.89","26",
"1714597378.892","25",
"1714597378.894","25",
"1714597378.898","25",
"1714597378.9","25",
"1714597378.902","25",
"1714597378.904","24",
"1714597378.908","25",
"1714597378.91","26",
"1714597378.912","26",
"1714597378.916","27",
"1714597378.918","27",
"1714597378.92","27",
"1714597378.922","27",
"1714597378.926","28",
"1714597378.927","27",
"1714597378.929","28",
"1714597378.93","27",
"1714597378.953","28",
"1714597378.954","28",
"1714597378.955","28",
"1714597378.957","28",
"1714597378.959","28",
"1714597378.961","28",
"1714597378.965","28",
"1714597378.967","28",
"1714597378.969","28",
"1714597378.975","28",
"1714597378.977","28",
"1714597378.979","29",
